Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Sat Feb 27 21:04:41 2021
Invocation: foremost -i mem.raw 
Output directory: /home/mritunjya/ctf/aero-ctf/output
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: mem.raw
Start: Sat Feb 27 21:04:43 2021
Length: 1024 MB (1073741824 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 
133:	01616747.gif 	      29 KB 	  827774704 	  (65535 x 65535)
134:	01565876.bmp 	       2 KB 	  801728818 	  (32 x 18)
135:	01606637.bmp 	      36 KB 	  822598530 	  (96 x 96)
136:	01541791.htm 	      199 B 	  789397121 	 
137:	01600491.htm 	       88 B 	  819451881 	 
138:	01557424.ole 	       6 KB 	  797401088 	 
139:	01433885.zip 	      44 MB 	  734149277 	 
140:	01593091.zip 	      48 MB 	  815662928 	 
141:	01470944.dll 	      63 KB 	  753123328 	 01/01/1970 00:00:00
142:	01505616.dll 	       2 KB 	  770875392 	 01/01/1970 00:00:00
143:	01510584.dll 	      74 KB 	  773419008 	 01/01/1970 00:00:00
144:	01515952.dll 	      14 KB 	  776167424 	 01/01/1970 00:00:00
145:	01636136.dll 	       4 KB 	  837701632 	 01/01/1970 00:00:00
146:	01716955.bmp 	       4 KB 	  879081074 	  (32 x 32)
147:	01639919.htm 	      149 B 	  839638734 	 
148:	01676004.htm 	      163 B 	  858114427 	 
149:	01676005.htm 	      218 B 	  858114731 	 
150:	01676005_1.htm 	      233 B 	  858115051 	 
151:	01676006.htm 	      231 B 	  858115387 	 
152:	01676007.htm 	      246 B 	  858115723 	 
153:	01721000.htm 	      239 B 	  881152043 	 
154:	01721000_1.htm 	      247 B 	  881152379 	 
155:	01721001.htm 	      250 B 	  881152731 	 
156:	01721002.htm 	      233 B 	  881153083 	 
157:	01721002_1.htm 	      256 B 	  881153419 	 
158:	01721003.htm 	      269 B 	  881153771 	 
159:	01721004.htm 	      255 B 	  881154139 	 
160:	01721004_1.htm 	      258 B 	  881154491 	 
161:	01721005.htm 	      233 B 	  881154843 	 
162:	01721006.htm 	      277 B 	  881155179 	 
163:	01721006_1.htm 	      253 B 	  881155563 	 
164:	01838322.htm 	       1 KB 	  941220968 	 
165:	01656824.dll 	      15 KB 	  848293888 	 01/01/1970 00:00:00
166:	01689648.dll 	      12 KB 	  865099776 	 01/01/1970 00:00:00
167:	01705272.dll 	       5 KB 	  873099264 	 01/01/1970 00:00:00
168:	01726368.dll 	      62 KB 	  883900416 	 01/01/1970 00:00:00
169:	01734416.dll 	      29 KB 	  888020992 	 01/01/1970 00:00:00
170:	01782616.dll 	       1 MB 	  912699392 	 01/01/1970 00:00:00
171:	01789216.dll 	      72 KB 	  916078592 	 01/01/1970 00:00:00
172:	01799848.dll 	     187 KB 	  921522176 	 09/02/2020 02:33:49
173:	01809320.dll 	     623 KB 	  926371840 	 05/20/2055 23:46:17
174:	01827736.dll 	       1 MB 	  935800832 	 09/18/2020 02:41:08
175:	01833736.dll 	     454 KB 	  938872832 	 12/23/2091 23:35:25
176:	01842672.dll 	     264 KB 	  943448064 	 01/01/1970 00:00:00
177:	01664768.png 	      205 B 	  852361288 	  (16 x 16)
178:	01664768_1.png 	      252 B 	  852361496 	  (20 x 20)
179:	01664769.png 	      257 B 	  852361752 	  (24 x 24)
180:	01664769_1.png 	      289 B 	  852362016 	  (32 x 32)
181:	01664770.png 	      333 B 	  852362312 	  (40 x 40)
182:	01664770_1.png 	      384 B 	  852362648 	  (48 x 48)
183:	01664771.png 	      467 B 	  852363032 	  (64 x 64)
184:	01676408.png 	      120 B 	  858320960 	  (16 x 16)
185:	01676408_1.png 	      120 B 	  858321080 	  (20 x 20)
186:	01676408_2.png 	      125 B 	  858321200 	  (24 x 24)
187:	01676408_3.png 	      124 B 	  858321328 	  (25 x 25)
188:	01676409.png 	      127 B 	  858321456 	  (30 x 30)
189:	01676409_1.png 	      147 B 	  858321584 	  (32 x 32)
190:	01676409_2.png 	      162 B 	  858321736 	  (40 x 40)
191:	01676409_3.png 	      182 B 	  858321904 	  (48 x 48)
192:	01676410.png 	      186 B 	  858322088 	  (50 x 50)
193:	01676410_1.png 	      195 B 	  858322280 	  (60 x 60)
194:	01676411.png 	      211 B 	  858322480 	  (64 x 64)
195:	01676411_1.png 	      227 B 	  858322696 	  (80 x 80)
196:	01676411_2.png 	      114 B 	  858322928 	  (16 x 16)
197:	01676412.png 	      116 B 	  858323048 	  (20 x 20)
198:	01676412_1.png 	      120 B 	  858323168 	  (24 x 24)
199:	01676412_2.png 	      122 B 	  858323288 	  (25 x 25)
200:	01676412_3.png 	      125 B 	  858323416 	  (30 x 30)
201:	01676413.png 	      145 B 	  858323544 	  (32 x 32)
202:	01676413_1.png 	      160 B 	  858323696 	  (40 x 40)
203:	01676413_2.png 	      174 B 	  858323856 	  (48 x 48)
204:	01676414.png 	      177 B 	  858324032 	  (50 x 50)
205:	01676414_1.png 	      189 B 	  858324216 	  (60 x 60)
206:	01676414_2.png 	      207 B 	  858324408 	  (64 x 64)
207:	01676415.png 	      221 B 	  858324616 	  (80 x 80)
208:	01676415_1.png 	      117 B 	  858324840 	  (16 x 16)
209:	01754483.png 	       2 KB 	  898295456 	  (256 x 256)
210:	01770251.png 	       1 KB 	  906368928 	  (256 x 256)
211:	01800729.png 	       1 KB 	  921973320 	  (20 x 20)
212:	01800731.png 	       1 KB 	  921974448 	  (24 x 24)
213:	01809984.png 	       2 KB 	  926711832 	  (64 x 64)
214:	01850930.jpg 	       3 KB 	  947676592 	 
215:	01976611.jpg 	     195 KB 	 1012025022 	 
216:	02002810.jpg 	      34 KB 	 1025438984 	 
217:	01973402.gif 	       1 KB 	 1010381840 	  (65535 x 65535)
218:	01946434.bmp 	       1 KB 	  996574434 	  (16 x 16)
219:	01946436.bmp 	       1 KB 	  996575698 	  (16 x 16)
220:	01946439.bmp 	       1 KB 	  996576962 	  (16 x 16)
221:	02024176.bmp 	       1 KB 	 1036378146 	  (16 x 16)
222:	02024178.bmp 	       1 KB 	 1036379410 	  (16 x 16)
223:	02024180.bmp 	       1 KB 	 1036380670 	  (16 x 16)
224:	02024183.bmp 	       1 KB 	 1036381938 	  (16 x 16)
225:	01932162.htm 	      139 B 	  989267355 	 
226:	01991210.htm 	     676 KB 	 1019499764 	 
227:	02043770.htm 	      137 B 	 1046410693 	 
228:	01938083.zip 	      46 MB 	  992298768 	 
229:	01844632.dll 	     465 KB 	  944451584 	 10/01/2042 19:07:45
230:	01875616.dll 	     742 KB 	  960315392 	 09/12/2037 13:10:40
231:	01939848.dll 	     132 KB 	  993202176 	 09/02/2020 02:33:50
232:	02002616.dll 	       3 KB 	 1025339392 	 01/01/1970 00:00:00
233:	02018416.dll 	      17 KB 	 1033428992 	 01/01/1970 00:00:00
234:	02026464.dll 	     753 KB 	 1037549568 	 07/13/1974 14:13:59
235:	01886322.png 	      162 B 	  965797200 	  (12 x 12)
236:	01886322_1.png 	      166 B 	  965797368 	  (15 x 15)
237:	01886323.png 	      169 B 	  965797536 	  (18 x 18)
238:	01886323_1.png 	      171 B 	  965797712 	  (24 x 24)
239:	01886324.png 	      187 B 	  965797888 	  (30 x 30)
240:	01886324_1.png 	      195 B 	  965798080 	  (36 x 36)
241:	01886324_2.png 	      211 B 	  965798280 	  (48 x 48)
242:	01886325.png 	      174 B 	  965798496 	  (12 x 12)
243:	01886325_1.png 	      185 B 	  965798672 	  (15 x 15)
244:	01886325_2.png 	      223 B 	  965798864 	  (18 x 18)
245:	01886326.png 	      266 B 	  965799088 	  (24 x 24)
246:	01886326_1.png 	      309 B 	  965799360 	  (30 x 30)
247:	01924224.png 	      178 B 	  985202752 	  (15 x 15)
248:	01924224_1.png 	      182 B 	  985202936 	  (18 x 18)
249:	01924224_2.png 	      179 B 	  985203120 	  (24 x 24)
250:	01924225.png 	      198 B 	  985203304 	  (30 x 30)
251:	01924225_1.png 	      208 B 	  985203504 	  (36 x 36)
252:	01924226.png 	      225 B 	  985203712 	  (48 x 48)
253:	01924226_1.png 	      192 B 	  985203944 	  (12 x 12)
254:	01924226_2.png 	      196 B 	  985204136 	  (15 x 15)
255:	01924227.png 	      199 B 	  985204336 	  (18 x 18)
256:	01924227_1.png 	      205 B 	  985204536 	  (24 x 24)
257:	01924228.png 	      215 B 	  985204744 	  (30 x 30)
258:	01924228_1.png 	      225 B 	  985204960 	  (36 x 36)
259:	01924228_2.png 	      243 B 	  985205192 	  (48 x 48)
260:	01924229.png 	      130 B 	  985205440 	  (12 x 12)
261:	01924229_1.png 	       1 KB 	  985205576 	  (15 x 15)
262:	01962907.png 	      209 B 	 1005008784 	  (12 x 12)
263:	02016392.png 	      482 B 	 1032392816 	  (48 x 48)
264:	02016393.png 	      123 B 	 1032393304 	  (12 x 12)
265:	02016393_1.png 	      130 B 	 1032393432 	  (15 x 15)
266:	02016393_2.png 	      155 B 	 1032393568 	  (18 x 18)
267:	02016394.png 	      180 B 	 1032393728 	  (24 x 24)
268:	02016394_1.png 	      195 B 	 1032393912 	  (30 x 30)
269:	02016394_2.png 	      251 B 	 1032394112 	  (36 x 36)
270:	02016395.png 	      297 B 	 1032394368 	  (48 x 48)
271:	02016395_1.png 	      209 B 	 1032394672 	  (12 x 12)
272:	02016396.png 	      231 B 	 1032394888 	  (15 x 15)
273:	02016396_1.png 	      249 B 	 1032395120 	  (18 x 18)
274:	02016397.png 	      260 B 	 1032395376 	  (24 x 24)
275:	02016397_1.png 	      291 B 	 1032395640 	  (30 x 30)
276:	02016398.png 	      324 B 	 1032395936 	  (36 x 36)
277:	02016398_1.png 	      423 B 	 1032396264 	  (48 x 48)
278:	02048552.htm 	      233 B 	 1048858683 	 
279:	02048552_1.htm 	      256 B 	 1048859019 	 
280:	02048553.htm 	      269 B 	 1048859371 	 
281:	02048554.htm 	      255 B 	 1048859739 	 
282:	02048554_1.htm 	      258 B 	 1048860091 	 
283:	02048555.htm 	      233 B 	 1048860443 	 
284:	02048556.htm 	      277 B 	 1048860779 	 
285:	02048556_1.htm 	      253 B 	 1048861163 	 
286:	02048557.htm 	      257 B 	 1048861515 	 
287:	02048560.htm 	      253 B 	 1048862747 	 
288:	02048560_1.htm 	      248 B 	 1048863099 	 
289:	02048561.htm 	      219 B 	 1048863451 	 
290:	02048562.htm 	      222 B 	 1048863771 	 
291:	02048562_1.htm 	      251 B 	 1048864091 	 
292:	02048563.htm 	      238 B 	 1048864443 	 
293:	02048564.htm 	      253 B 	 1048864779 	 
294:	02048564_1.htm 	      236 B 	 1048865131 	 
295:	02048565.htm 	      269 B 	 1048865467 	 
296:	02048566.htm 	      239 B 	 1048865835 	 
297:	02048566_1.htm 	      247 B 	 1048866171 	 
298:	02048567.htm 	      250 B 	 1048866523 	 
299:	02048570.htm 	      163 B 	 1048868219 	 
300:	02048571.htm 	      218 B 	 1048868523 	 
301:	02048571_1.htm 	      233 B 	 1048868843 	 
302:	02048572.htm 	      231 B 	 1048869179 	 
303:	02048573.htm 	      246 B 	 1048869515 	 
304:	02048573_1.htm 	      241 B 	 1048869867 	 
305:	02048574.htm 	      281 B 	 1048870203 	 
306:	02048575.htm 	      249 B 	 1048870587 	 
307:	02065305.dll 	       4 KB 	 1057436224 	 01/01/1970 00:00:00
Finish: Sat Feb 27 21:05:14 2021

308 FILES EXTRACTED
	
jpg:= 7
gif:= 6
bmp:= 47
rif:= 1
htm:= 59
ole:= 2
zip:= 5
exe:= 68
png:= 113
------------------------------------------------------------------

Foremost finished at Sat Feb 27 21:05:14 2021
