PASS: Availability of <stdio.h>
PASS: Combined <stdio.h> test
PASSCOMBINED: Availability of function putchar
PASSCOMBINED: Type of function putchar
PASSCOMBINED: Availability of function puts
PASSCOMBINED: Type of function puts
PASSCOMBINED: Availability of function putw
PASSCOMBINED: Type of function putw
PASSCOMBINED: Availability of function remove
PASSCOMBINED: Type of function remove
PASSCOMBINED: Availability of function rename
PASSCOMBINED: Type of function rename
PASSCOMBINED: Availability of function rewind
PASSCOMBINED: Type of function rewind
PASSCOMBINED: Availability of function scanf
PASSCOMBINED: Type of function scanf
PASSCOMBINED: Availability of function setbuf
PASSCOMBINED: Type of function setbuf
PASSCOMBINED: Availability of function setvbuf
PASSCOMBINED: Type of function setvbuf
PASSCOMBINED: Availability of function sprintf
PASSCOMBINED: Type of function sprintf
PASSCOMBINED: Availability of function sscanf
PASSCOMBINED: Type of function sscanf
PASSCOMBINED: Availability of function tempnam
PASSCOMBINED: Type of function tempnam
PASSCOMBINED: Availability of function tmpfile
PASSCOMBINED: Type of function tmpfile
PASSCOMBINED: Availability of function tmpnam
PASSCOMBINED: Type of function tmpnam
PASSCOMBINED: Availability of function ungetc
PASSCOMBINED: Type of function ungetc
PASSCOMBINED: Availability of function vfprintf
PASSCOMBINED: Type of function vfprintf
PASSCOMBINED: Availability of function vprintf
PASSCOMBINED: Type of function vprintf
PASSCOMBINED: Availability of function vsprintf
PASSCOMBINED: Type of function vsprintf
PASSCOMBINED: Availability of variable optarg
PASSCOMBINED: Type of variable optarg
PASSCOMBINED: Availability of variable opterr
PASSCOMBINED: Type of variable opterr
PASSCOMBINED: Availability of variable optind
PASSCOMBINED: Type of variable optind
PASSCOMBINED: Availability of variable optopt
PASSCOMBINED: Type of variable optopt
PASS: Namespace of <stdio.h>
----------------------------------------------------------------------------
  Total number of tests   :  168
  Number of failed tests  :    0
  Number of xfailed tests :    0
  Number of skipped tests :    0
