0x00	0x0000
0xC44F	0x00D5
0xC455	0x0168
0xC461	0x00E3
0xC469	0x0129
0xC46E	0x00F1
0xC46F	0x00F5
0xC475	0x0169
0xC520	0x00AF
0xC541	0x0100
0xC545	0x0112
0xC549	0x012A
0xC54F	0x014C
0xC555	0x016A
0xC561	0x0101
0xC565	0x0113
0xC569	0x012B
0xC56F	0x014D
0xC575	0x016B
0xC620	0x02D8
0xC641	0x0102
0xC647	0x011E
0xC655	0x016C
0xC661	0x0103
0xC667	0x011F
0xC675	0x016D
0xC720	0x02D9
0xC743	0x010A
0xC745	0x0116
0xC747	0x0120
0xC749	0x0130
0xC75A	0x017B
0xC763	0x010B
0xC765	0x0117
0xC767	0x0121
0xC77A	0x017C
0xC820	0x00A8
0xC841	0x00C4
0xC845	0x00CB
0xC849	0x00CF
0xC84F	0x00D6
0xC855	0x00DC
0xC859	0x0178
0xC861	0x00E4
0xC865	0x00EB
0xC869	0x00EF
0xC86F	0x00F6
0xC875	0x00FC
0xC879	0x00FF
0xCA20	0x02DA
0xCA41	0x00C5
0xCA55	0x016E
0xCA61	0x00E5
0xCA75	0x016F
0xCB20	0x00B8
0xCB43	0x00C7
0xCB47	0x0122
0xCB4B	0x0136
0xCB4C	0x013B
0xCB4E	0x0145
0xCB52	0x0156
0xCB53	0x015E
0xCB54	0x0162
0xCB63	0x00E7
0xCB67	0x0123
0xCB6B	0x0137
0xCB6C	0x013C
0xCB6E	0x0146
0xCB72	0x0157
0xCB73	0x015F
0xCB74	0x0163
0xCD20	0x02DD
0xCD4F	0x0150
0xCD55	0x0170
0xCD6F	0x0151
0xCD75	0x0171
0xCE20	0x02DB
0xCE41	0x0104
0xCE45	0x0118
0xCE49	0x012E
0xCE55	0x0172
0xCE61	0x0105
0xCE65	0x0119
0xCE69	0x012F
0xCE75	0x0173
0xCF20	0x02C7
0xCF43	0x010C
0xCF44	0x010E
0xCF45	0x011A
0xCF4C	0x013D
0xCF4E	0x0147
0xCF52	0x0158
0xCF53	0x0160
0xCF54	0x0164
0xCF5A	0x017D
0xCF63	0x010D
0xCF64	0x010F
0xCF65	0x011B
0xCF6C	0x013E
0xCF6E	0x0148
0xCF72	0x0159
0xCF73	0x0161
0xCF74	0x0165
0xCF7A	0x017E
0xE0	0x2126
0xE1	0x00C6
0xE2	0x00D0
0xE3	0x00AA
0xE4	0x0126
0xE6	0x0132
0xE7	0x013F
0xE8	0x0141
0xE9	0x00D8
0xEA	0x0152
0xEB	0x00BA
0xEC	0x00DE
0xED	0x0166
0xEE	0x014A
0xEF	0x0149
0xF0	0x0138
0xF1	0x00E6
0xF2	0x0111
0xF3	0x00F0
0xF4	0x0127
0xF5	0x0131
0xF6	0x0133
0xF7	0x0140
0xF8	0x0142
0xF9	0x00F8
0xFA	0x0153
0xFB	0x00DF
0xFC	0x00FE
0xFD	0x0167
0xFE	0x014B
