PASS: Availability of <netdb.h>
PASS: Combined <netdb.h> test
PASSCOMBINED: Availability of macro AI_ADDRCONFIG
PASSCOMBINED: Availability of macro AI_NUMERICSERV
PASSCOMBINED: Availability of macro NI_NOFQDN
PASSCOMBINED: Availability of macro NI_NUMERICHOST
PASSCOMBINED: Availability of macro NI_NAMEREQD
PASSCOMBINED: Availability of macro NI_NUMERICSERV
PASSCOMBINED: Availability of macro NI_DGRAM
PASSCOMBINED: Availability of macro EAI_AGAIN
PASSCOMBINED: Availability of macro EAI_BADFLAGS
PASSCOMBINED: Availability of macro EAI_FAIL
PASSCOMBINED: Availability of macro EAI_FAMILY
PASSCOMBINED: Availability of macro EAI_MEMORY
PASSCOMBINED: Availability of macro EAI_NONAME
PASSCOMBINED: Availability of macro EAI_SERVICE
PASSCOMBINED: Availability of macro EAI_SOCKTYPE
PASSCOMBINED: Availability of macro EAI_SYSTEM
PASSCOMBINED: Availability of macro EAI_OVERFLOW
PASSCOMBINED: Availability of function endhostent
PASSCOMBINED: Type of function endhostent
PASSCOMBINED: Availability of function endnetent
PASSCOMBINED: Type of function endnetent
PASSCOMBINED: Availability of function endprotoent
PASSCOMBINED: Type of function endprotoent
PASSCOMBINED: Availability of function endservent
PASSCOMBINED: Type of function endservent
PASSCOMBINED: Availability of function freeaddrinfo
PASSCOMBINED: Type of function freeaddrinfo
PASSCOMBINED: Availability of function gai_strerror
PASSCOMBINED: Type of function gai_strerror
PASSCOMBINED: Availability of function getaddrinfo
PASSCOMBINED: Type of function getaddrinfo
PASSCOMBINED: Availability of function gethostbyaddr
PASSCOMBINED: Type of function gethostbyaddr
PASSCOMBINED: Availability of function gethostbyname
PASSCOMBINED: Type of function gethostbyname
PASSCOMBINED: Availability of function gethostent
PASSCOMBINED: Type of function gethostent
PASSCOMBINED: Availability of function getnameinfo
PASSCOMBINED: Type of function getnameinfo
PASSCOMBINED: Availability of function getnetbyaddr
PASSCOMBINED: Type of function getnetbyaddr
PASSCOMBINED: Availability of function getnetbyname
PASSCOMBINED: Type of function getnetbyname
PASSCOMBINED: Availability of function getnetent
PASSCOMBINED: Type of function getnetent
PASSCOMBINED: Availability of function getprotobyname
PASSCOMBINED: Type of function getprotobyname
PASSCOMBINED: Availability of function getprotobynumber
PASSCOMBINED: Type of function getprotobynumber
PASSCOMBINED: Availability of function getprotoent
PASSCOMBINED: Type of function getprotoent
PASSCOMBINED: Availability of function getservbyname
PASSCOMBINED: Type of function getservbyname
PASSCOMBINED: Availability of function getservbyport
PASSCOMBINED: Type of function getservbyport
PASSCOMBINED: Availability of function getservent
PASSCOMBINED: Type of function getservent
PASSCOMBINED: Availability of function sethostent
PASSCOMBINED: Type of function sethostent
PASSCOMBINED: Availability of function setnetent
PASSCOMBINED: Type of function setnetent
PASSCOMBINED: Availability of function setprotoent
PASSCOMBINED: Type of function setprotoent
PASSCOMBINED: Availability of function setservent
PASSCOMBINED: Type of function setservent
PASSCOMBINED: Availability of type socklen_t
PASS: Namespace of <netdb.h>
----------------------------------------------------------------------------
  Total number of tests   :  134
  Number of failed tests  :    0
  Number of xfailed tests :    0
  Number of skipped tests :    0
