PASS: Availability of <pthread.h>
PASS: Combined <pthread.h> test
PASSCOMBINED: Type of function pthread_mutexattr_destroy
PASS: Availability of function pthread_mutexattr_getprioceiling
PASS: Type of function pthread_mutexattr_getprioceiling
PASS: Availability of function pthread_mutexattr_getprotocol
PASS: Type of function pthread_mutexattr_getprotocol
PASSCOMBINED: Availability of function pthread_mutexattr_getpshared
PASSCOMBINED: Type of function pthread_mutexattr_getpshared
PASSCOMBINED: Availability of function pthread_mutexattr_init
PASSCOMBINED: Type of function pthread_mutexattr_init
PASS: Availability of function pthread_mutexattr_setprioceiling
PASS: Type of function pthread_mutexattr_setprioceiling
PASS: Availability of function pthread_mutexattr_setprotocol
PASS: Type of function pthread_mutexattr_setprotocol
PASSCOMBINED: Availability of function pthread_mutexattr_setpshared
PASSCOMBINED: Type of function pthread_mutexattr_setpshared
PASSCOMBINED: Availability of function pthread_once
PASSCOMBINED: Type of function pthread_once
PASSCOMBINED: Availability of function pthread_self
PASSCOMBINED: Type of function pthread_self
PASSCOMBINED: Availability of function pthread_setcancelstate
PASSCOMBINED: Type of function pthread_setcancelstate
PASSCOMBINED: Availability of function pthread_setcanceltype
PASSCOMBINED: Type of function pthread_setcanceltype
PASSCOMBINED: Availability of function pthread_setschedparam
PASSCOMBINED: Type of function pthread_setschedparam
PASSCOMBINED: Availability of function pthread_setspecific
PASSCOMBINED: Type of function pthread_setspecific
PASSCOMBINED: Availability of function pthread_testcancel
PASSCOMBINED: Type of function pthread_testcancel
PASS: Namespace of <pthread.h>
----------------------------------------------------------------------------
  Total number of tests   :  141
  Number of failed tests  :    0
  Number of xfailed tests :    0
  Number of skipped tests :    0
