PASS: Availability of <termios.h>
PASS: Combined <termios.h> test
PASSCOMBINED: Availability of constant B19200
PASSCOMBINED: Availability of constant B38400
PASSCOMBINED: Availability of constant CSIZE
PASSCOMBINED: Availability of constant CS5
PASSCOMBINED: Availability of constant CS6
PASSCOMBINED: Availability of constant CS7
PASSCOMBINED: Availability of constant CS8
PASSCOMBINED: Availability of constant CSTOPB
PASSCOMBINED: Availability of constant CREAD
PASSCOMBINED: Availability of constant PARENB
PASSCOMBINED: Availability of constant PARODD
PASSCOMBINED: Availability of constant HUPCL
PASSCOMBINED: Availability of constant CLOCAL
PASSCOMBINED: Availability of constant ECHO
PASSCOMBINED: Availability of constant ECHOE
PASSCOMBINED: Availability of constant ECHOK
PASSCOMBINED: Availability of constant ECHONL
PASSCOMBINED: Availability of constant ICANON
PASSCOMBINED: Availability of constant IEXTEN
PASSCOMBINED: Availability of constant ISIG
PASSCOMBINED: Availability of constant NOFLSH
PASSCOMBINED: Availability of constant TOSTOP
PASSCOMBINED: Availability of constant XCASE
PASSCOMBINED: Availability of constant TCSANOW
PASSCOMBINED: Availability of constant TCSADRAIN
PASSCOMBINED: Availability of constant TCSAFLUSH
PASSCOMBINED: Availability of constant TCIFLUSH
PASSCOMBINED: Availability of constant TCIOFLUSH
PASSCOMBINED: Availability of constant TCIOFF
PASSCOMBINED: Availability of constant TCION
PASSCOMBINED: Availability of constant TCOOFF
PASSCOMBINED: Availability of constant TCOON
PASSCOMBINED: Availability of function cfgetispeed
PASSCOMBINED: Type of function cfgetispeed
PASSCOMBINED: Availability of function cfgetospeed
PASSCOMBINED: Type of function cfgetospeed
PASSCOMBINED: Availability of function cfsetispeed
PASSCOMBINED: Type of function cfsetispeed
PASSCOMBINED: Availability of function cfsetospeed
PASSCOMBINED: Type of function cfsetospeed
PASSCOMBINED: Availability of function tcdrain
PASSCOMBINED: Type of function tcdrain
PASSCOMBINED: Availability of function tcflow
PASSCOMBINED: Type of function tcflow
PASSCOMBINED: Availability of function tcflush
PASSCOMBINED: Type of function tcflush
PASSCOMBINED: Availability of function tcgetattr
PASSCOMBINED: Type of function tcgetattr
PASSCOMBINED: Availability of function tcgetsid
PASSCOMBINED: Type of function tcgetsid
PASSCOMBINED: Availability of function tcsendbreak
PASSCOMBINED: Type of function tcsendbreak
PASSCOMBINED: Availability of function tcsetattr
PASSCOMBINED: Type of function tcsetattr
PASS: Namespace of <termios.h>
----------------------------------------------------------------------------
  Total number of tests   :  139
  Number of failed tests  :    0
  Number of xfailed tests :    0
  Number of skipped tests :    0
